entry_id,raw_text,surname,first_name,first_name_expanded,suffix,occupation,relationship_type,related_to_name,age,origin,descriptor,additional_persons,additional_persons_count,entry_type,confidence,flags
450,"Budd, Joseph's wife & child – hatter",Budd,,,,hatter,wife,Joseph,,,hatter,child,,named,high,
451,"Budd, Susannah – widow",Budd,Susannah,Susannah,,,widow,,,,,,,named,high,
452,"Buffington, Joseph's daughter",Buffington,,,,,daughter,Joseph,,,,,,named,high,
453,"Bulem, widow",Bulem,,,,,widow,,,,,,,named,high,
454,"Bulledet, _",Bulledet,,,,,,,,,,,,named,medium,unknown_first_name
455,"Bullman, ___ Samuel's wife",Bullman,,,,,wife,___ Samuel,,,,,,unnamed,medium,
456,"Bullman, Mary]",Bullman,Mary],Mary],,,,,,,,,,named,high,
457,"Bullock, Angeline, dau of Joseph",Bullock,Angeline,Angeline,,dau of Joseph,,,,,dau of Joseph,,,named,high,
458,"Bullock, George, son of Joseph",Bullock,George,George,,son of Joseph,son,,,,son of Joseph,,,named,high,
459,"Bunn, Joshua",Bunn,Joshua,Joshua,,,,,,,,,,named,high,
460,"Bunting, Mary",Bunting,Mary,Mary,,,,,,,,,,named,high,
461,"Bunting, Rachel",Bunting,Rachel,Rachel,,,,,,,,,,named,high,
462,"Burden, Joseph's child",Burden,,,,,child,Joseph,,,,,,named,high,
463,"Burden, Susanna – in Almshouse",Burden,Susanna,Susanna,,in Almshouse,,,,,in Almshouse,,,named,high,
464,"Burden, Thomas – tailor",Burden,Thomas,Thomas,,tailor,,,,,tailor,,,named,high,
465,"Burdy, George – tailor",Burdy,George,George,,tailor,,,,,tailor,,,named,high,
466,"Burk, David – tailor",Burk,David,David,,tailor,,,,,tailor,,,named,high,
467,"Burke Margaret, wife ofJohn",Burke Margaret,wife ofJohn,wife ofJohn,,,,,,,,,,named,high,
468,"Burke,  Catharine's daughter",Burke,,,,,daughter,Catharine,,,,,,named,high,
469,"Burke, Elizabeth",Burke,Elizabeth,Elizabeth,,,,,,,,,,named,high,
470,"Burke, George's child",Burke,,,,,child,George,,,,,,named,high,
471,"Burke, Joseph – from W. Indies",Burke,Joseph,Joseph,,from W. Indies,,,,,from W. Indies,,,named,high,
472,"Burke, Joseph- clerk",Burke,Joseph- clerk,Joseph- clerk,,,,,,,,,,named,high,
473,"Burke, Peter's daughter",Burke,,,,,daughter,Peter,,,,,,named,high,
474,"Burke, Sophia",Burke,Sophia,Sophia,,,,,,,,,,named,high,
475,"Burke, Thomas' wife",Burke,,,,,wife,Thomas,,,,,,named,high,
476,"Burkellow, Jacob Jun.",Burkellow,Jacob .,Jacob .,Jun,,,,,,,,,named,high,
477,"Burkhard, Daniel's daughter",Burkhard,,,,,daughter,Daniel,,,,,,named,high,
478,"Burkhard, John and son",Burkhard,John and son,John and son,,,,,,,,,,named,high,
479,"Burkhard, William's son",Burkhard,,,,,son,William,,,,,,named,high,
480,"Burkhard,William's daughter",Burkhard,,,,,daughter,William,,,,,,named,high,
481,"Burkhards, Margaret",Burkhards,Margaret,Margaret,,,,,,,,,,named,high,
482,"Burkhart, Catha. – widow, aet 80",Burkhart,Catha.,Catha.,,,widow,,80,,,,,named,high,
483,"Burnet, Moses – ferryman",Burnet,Moses,Moses,,ferryman,,,,,ferryman,,,named,high,
484,"Burngate, Elizabeth - shopkeeper",Burngate,Elizabeth,Elizabeth,,shopkeeper,,,,,shopkeeper,,,named,high,
485,"Burns, John",Burns,John,John,,,,,,,,,,named,high,
486,"Burns, John – currier, and wife",Burns,John,John,,currier,wife,,,,currier,wife,,named,high,
487,"Burns, Joshua – house carpenter",Burns,Joshua,Joshua,,house carpenter,,,,,house carpenter,,,named,high,
488,"Burns, Mary",Burns,Mary,Mary,,,,,,,,,,named,high,
489,"Burns, Mrs.",Burns,Mrs.,Mrs.,,,,,,,,,,named,high,
490,"Burns, Patrick – labourer",Burns,Patrick,Patrick,,labourer,,,,,labourer,,,named,high,
491,"Burns, Thomas' wife",Burns,,,,,wife,Thomas,,,,,,named,high,
492,"Burrows, Robert",Burrows,Robert,Robert,,,,,,,,,,named,high,
493,"Burs, Elizabeth",Burs,Elizabeth,Elizabeth,,,,,,,,,,named,high,
494,"Busby, Robert",Busby,Robert,Robert,,,,,,,,,,named,high,
